"","prop_15","prop_16","age","gender","race","race4","race5","hispanic","educ","income3","ca_region","ca_county","pid3","pid7","elec_int_state","covid_response"
"30",1,1,45,2,4,4,4,2,3,2,4,19,1,2,1,1
"31",3,1,26,1,7,4,5,2,2,4,5,37,3,5,1,1
"32",1,1,56,1,1,1,1,2,6,NA,3,1,1,1,1,1
"33",1,1,43,2,1,1,1,1,6,2,1,17,2,7,1,2
"34",2,1,25,2,4,4,4,2,6,4,3,7,1,2,2,1
"35",1,1,29,2,3,3,3,1,3,2,4,19,1,2,2,3
"36",2,2,85,1,1,1,1,2,5,2,2,6,3,5,3,3
"37",2,3,23,1,3,3,3,1,4,4,4,19,5,8,2,3
"38",1,1,65,1,1,1,1,2,3,3,2,50,3,3,1,1
"39",2,2,69,1,1,1,1,2,5,3,2,39,2,7,2,3
"40",1,1,79,2,1,1,1,2,6,3,3,1,1,1,1,1
"41",1,2,58,2,1,1,1,2,3,4,1,44,3,4,1,1
"42",2,1,36,1,1,1,1,2,2,1,5,36,2,7,3,3
"43",1,2,39,1,4,4,4,2,5,1,3,1,3,3,1,1
"44",1,1,59,2,1,1,1,2,5,4,5,37,1,2,1,1
"45",2,2,67,1,1,1,1,2,2,1,1,40,2,6,2,2
"46",2,2,85,2,1,1,1,2,2,4,2,10,2,7,3,3
"47",2,2,25,1,1,1,1,2,4,2,5,37,2,7,4,2
"48",1,1,44,1,1,1,1,2,5,3,4,19,4,3,1,1
"49",1,1,22,2,4,4,4,2,5,3,3,43,1,2,1,1
"50",2,2,81,1,1,1,1,2,6,3,1,49,2,7,2,1
"51",2,2,40,1,2,2,2,2,6,4,3,1,3,5,2,3
"52",2,2,83,2,1,1,1,2,5,4,3,7,1,1,2,1
"53",2,2,64,1,1,1,1,2,2,1,5,30,1,2,1,3
"54",2,2,57,1,1,1,1,2,3,4,3,38,3,4,4,2
"55",1,1,71,1,1,1,1,2,3,2,3,38,1,1,1,1
"56",2,2,68,2,1,1,1,2,6,3,5,13,1,1,1,1
"57",3,2,71,1,1,1,1,2,3,4,5,37,1,1,1,1
"58",1,1,71,2,1,1,1,2,4,3,4,19,1,1,1,1
"59",1,1,71,1,1,1,1,2,5,3,1,57,2,6,1,1
"60",2,2,74,1,1,1,1,2,3,2,3,41,2,7,3,3
"61",1,1,37,1,1,1,1,2,3,2,5,37,1,1,1,1
"62",2,2,61,1,1,1,1,2,5,3,2,31,3,4,4,2
"63",2,2,66,1,1,1,1,2,4,3,3,1,2,7,3,2
"64",1,1,70,1,1,1,1,2,6,2,3,43,1,1,1,1
"65",1,2,71,2,2,2,2,2,4,2,5,33,3,4,1,1
"66",1,1,29,1,4,4,4,2,3,2,4,19,1,2,1,1
"67",1,1,84,2,1,1,1,2,4,2,5,33,1,1,1,3
"68",1,1,36,1,1,1,1,2,5,1,1,12,1,1,1,3
"69",2,2,73,1,1,1,1,2,4,4,4,19,2,7,3,2
"70",1,2,33,1,4,4,4,2,6,3,4,19,1,2,2,3
"71",1,1,60,2,4,4,4,2,5,3,3,1,1,1,1,1
"72",1,1,50,1,1,1,1,2,6,2,3,1,1,1,1,1
"73",2,1,23,1,1,1,1,2,3,1,2,10,1,2,1,3
"74",1,1,44,1,4,4,4,2,6,3,3,1,3,5,2,1
"75",1,1,74,1,1,1,1,2,6,3,4,19,1,2,1,1
"76",1,1,49,1,2,2,2,2,5,3,4,19,1,1,1,1
"77",1,1,69,2,1,1,1,2,5,2,3,7,1,1,1,3
"78",1,2,59,2,1,1,1,2,5,4,4,19,1,1,1,1
"79",2,2,50,2,1,1,1,2,5,2,1,48,2,6,1,3
"80",1,1,37,2,2,2,2,2,5,1,3,1,1,1,2,1
"81",1,1,43,2,4,4,4,2,5,3,4,19,3,3,1,1
"82",1,2,69,1,4,4,4,2,5,3,2,34,1,1,1,1
"83",1,1,71,2,1,1,1,2,6,3,4,19,1,1,1,1
"84",2,2,58,2,1,1,1,2,5,4,5,30,2,7,4,3
"85",2,2,78,1,1,1,1,2,5,3,2,34,2,7,3,3
"86",2,1,55,1,1,1,1,2,5,1,1,42,1,1,1,1
"87",1,2,66,2,1,1,1,2,3,3,1,49,3,4,1,3
"88",1,1,71,2,1,1,1,2,3,1,4,19,1,1,1,3
"89",2,2,33,1,1,1,1,2,4,1,5,30,1,2,4,1
"90",2,1,64,1,4,4,4,2,5,3,3,7,3,4,1,1
"91",2,2,48,1,3,3,3,1,5,3,1,40,2,6,1,3
"92",1,3,71,2,1,1,1,2,3,2,1,49,1,1,1,1
"93",2,2,60,1,1,1,1,2,5,2,3,43,1,1,1,1
"94",1,1,51,2,1,1,1,1,5,3,3,1,1,1,3,1
"95",2,2,59,2,1,1,1,2,3,3,5,33,4,5,2,1
"96",2,2,70,2,1,1,1,2,5,3,4,19,2,7,3,2
"97",1,1,67,2,1,1,1,2,5,3,3,41,1,1,1,1
"98",1,1,35,1,1,1,1,2,5,3,4,19,2,7,2,1
"99",2,2,71,2,1,1,1,2,5,3,2,9,1,1,1,1
"100",1,2,72,1,1,1,1,2,5,2,3,38,1,1,1,2
"101",2,1,54,1,1,1,1,2,5,3,5,30,3,3,1,1
"102",2,2,30,1,3,3,3,1,5,1,2,10,2,6,1,3
"103",2,2,63,1,1,1,1,2,6,3,4,19,2,7,5,3
"104",2,2,67,1,1,1,1,2,3,4,4,19,2,6,2,3
"105",2,2,39,2,1,1,1,2,5,3,3,1,2,6,3,3
"106",1,1,68,1,1,1,1,2,6,2,4,19,1,1,1,1
"107",2,2,56,1,5,4,5,2,5,2,2,10,2,7,3,3
"108",2,2,40,1,4,4,4,2,6,2,3,38,3,3,1,3
"109",1,1,28,2,1,1,1,2,2,1,5,36,4,3,2,1
"110",3,3,40,1,1,1,1,2,5,3,5,37,3,5,3,3
"111",2,2,74,1,1,1,1,2,2,1,5,30,2,6,1,1
"112",2,2,59,1,1,1,1,2,2,2,1,42,3,4,1,1
"113",2,2,69,1,1,1,1,2,6,3,5,33,2,7,2,2
"114",2,2,83,2,1,1,1,2,4,1,2,31,3,4,2,1
"115",1,1,77,1,1,1,1,2,6,2,2,15,3,3,1,1
"116",1,1,79,2,1,1,1,2,6,4,1,56,1,1,1,1
"117",3,3,72,2,1,1,1,2,2,1,2,39,2,7,2,2
"118",3,3,23,1,3,3,3,1,2,4,4,19,5,8,1,3
"119",1,1,71,1,1,1,1,2,5,3,5,37,1,1,1,1
"120",2,2,80,1,1,1,1,2,2,1,1,23,2,6,3,1
"121",1,1,81,2,1,1,1,2,6,2,4,19,1,1,2,3
"122",2,1,73,1,1,1,1,2,5,2,1,56,1,1,1,3
"123",NA,NA,82,1,1,1,1,2,5,1,4,19,2,7,1,3
"124",2,2,83,1,1,1,1,2,5,4,3,7,2,7,4,1
"125",3,2,59,1,1,1,1,2,3,1,1,49,2,7,4,2
"126",3,3,56,1,1,1,1,2,2,1,4,19,3,4,NA,1
"127",2,2,59,2,1,1,1,2,6,3,3,41,3,4,3,2
"128",2,2,76,1,1,1,1,2,5,3,4,19,2,7,1,1
"129",2,2,80,2,1,1,1,2,3,4,5,36,2,6,3,3
"130",2,2,80,1,1,1,1,2,6,4,2,15,2,7,3,2
"131",1,1,69,2,1,1,1,2,6,2,3,41,3,3,1,1
"132",2,2,75,2,1,1,1,2,4,3,3,7,2,7,5,1
"133",NA,NA,30,2,3,3,3,1,1,1,4,19,5,8,2,1
"134",1,1,77,2,2,2,2,2,6,4,4,19,1,1,1,2
"135",2,2,75,1,1,1,1,2,5,3,1,44,2,7,4,2
"136",1,1,39,2,4,4,4,2,5,3,3,1,1,2,2,3
"137",1,1,61,2,1,1,1,2,6,3,2,15,1,1,1,1
"138",1,1,39,2,1,1,1,2,3,1,5,37,1,2,1,1
"139",1,1,33,2,1,1,1,2,6,3,2,34,1,2,2,1
"140",1,1,64,2,1,1,1,2,5,1,3,41,1,1,1,1
"141",3,3,59,2,1,1,1,2,2,1,1,44,1,1,1,3
"142",1,1,63,1,1,1,1,2,5,3,3,43,4,4,2,1
"143",1,2,27,2,4,4,4,2,6,1,5,30,2,6,2,1
"144",2,2,58,1,1,1,1,2,6,3,5,37,3,3,1,1
"145",2,2,50,1,4,4,4,2,5,3,3,43,3,8,1,1
"146",3,3,41,2,4,4,4,2,6,4,3,38,3,5,1,1
"147",1,1,67,2,1,1,1,2,5,1,1,49,1,1,1,1
"148",2,2,35,2,6,4,5,1,3,4,2,34,2,7,4,2
"149",2,2,62,1,7,4,5,2,3,4,4,19,2,6,4,2
"150",1,1,40,1,6,4,5,2,6,2,1,49,4,3,2,3
"151",1,2,25,1,4,4,4,1,4,2,3,43,2,6,5,2
"152",1,2,61,2,4,4,4,2,2,1,3,43,2,6,5,1
"153",1,1,48,2,1,1,1,2,5,3,5,37,1,1,1,1
"154",1,3,59,2,1,1,1,2,3,3,1,56,3,3,1,1
"155",2,2,81,1,1,1,1,2,6,1,3,7,3,5,2,3
"156",1,1,22,2,6,4,5,1,3,3,5,30,1,1,2,3
"157",3,2,43,1,1,1,1,2,5,3,2,10,1,1,1,1
"158",2,2,61,1,3,3,3,1,5,1,2,4,2,7,2,1
"159",2,1,74,1,1,1,1,2,4,2,2,10,1,1,1,3
"160",2,2,70,1,3,3,3,1,6,2,2,34,4,5,2,3
"161",1,2,74,2,1,1,1,2,6,4,5,37,1,1,1,1
"162",1,2,47,2,1,1,1,2,5,4,3,38,3,4,2,1
"163",2,1,53,2,1,1,1,2,5,4,3,43,1,1,1,1
"164",2,2,47,1,4,4,4,2,5,3,5,36,3,3,2,1
"165",1,1,63,2,1,1,1,2,3,1,2,34,1,1,1,1
"166",1,1,54,2,7,4,5,2,5,3,5,30,1,1,1,1
"167",2,2,56,1,1,1,1,2,3,3,1,49,3,4,1,1
"168",2,2,56,2,1,1,1,2,5,2,2,34,1,1,5,3
"169",1,3,48,2,1,1,1,2,3,1,3,21,3,4,3,3
"170",3,3,56,1,1,1,1,2,6,2,5,37,3,3,2,3
"171",NA,NA,30,1,1,1,1,2,2,2,4,19,1,2,2,1
"172",3,3,44,2,1,1,1,2,3,2,2,3,1,1,1,3
"173",1,2,65,1,1,1,1,1,5,3,1,35,3,3,1,1
"174",NA,NA,69,2,2,2,2,2,4,1,5,36,1,2,2,1
"175",2,2,65,2,6,4,5,2,6,3,5,30,1,1,1,1
"176",2,2,49,2,1,1,1,2,6,3,4,19,3,4,1,3
"177",1,1,34,1,3,3,3,1,5,2,4,19,1,1,1,3
"178",NA,NA,27,1,1,1,1,2,4,1,5,30,3,3,2,3
"179",1,2,64,1,1,1,1,2,3,1,5,33,1,2,1,1
"180",1,2,41,2,1,1,1,2,5,2,2,39,3,4,2,3
"181",1,2,56,2,3,3,3,1,6,3,5,33,1,1,1,3
"182",2,2,46,2,5,4,5,2,3,4,2,50,5,4,2,NA
"183",2,2,41,1,4,4,4,2,5,3,4,19,1,1,2,3
"184",1,1,60,1,1,1,1,2,4,3,3,7,1,2,2,1
"185",2,2,73,2,1,1,1,2,5,4,3,43,3,4,2,3
"186",1,1,52,2,1,1,1,2,3,2,5,36,2,7,1,2
"187",2,2,36,2,4,4,4,2,4,3,5,37,3,3,1,1
"188",2,2,63,2,3,3,3,1,5,3,3,41,4,5,3,2
"189",2,2,40,1,7,4,5,2,5,4,5,37,4,5,1,2
"190",1,2,45,2,1,1,1,2,5,3,4,19,1,2,2,1
"191",1,3,39,2,2,2,2,2,3,1,2,34,1,1,1,1
"192",1,2,29,2,1,1,1,2,6,2,3,38,1,1,1,1
"193",1,1,76,1,1,1,1,2,6,4,3,41,1,1,1,1
"194",2,2,32,2,6,4,5,2,2,2,2,10,2,6,3,2
"195",1,1,32,1,1,1,1,2,5,2,3,1,1,1,1,1
"196",2,2,44,1,3,3,3,1,3,3,4,19,4,5,1,1
"197",1,2,36,2,7,4,5,2,5,4,4,19,1,1,1,1
"198",2,2,44,1,1,1,1,2,3,3,2,10,2,6,2,3
"199",2,1,54,2,1,1,1,2,6,4,3,7,3,3,1,1
"200",2,2,31,2,1,1,1,2,3,2,3,43,2,7,3,2
"201",2,1,36,2,1,1,1,2,2,1,1,17,5,3,1,1
"202",1,1,55,1,1,1,1,2,4,1,5,36,1,1,1,2
"203",1,2,68,2,1,1,1,2,5,4,2,10,1,1,2,1
"204",2,2,49,2,1,1,1,2,5,4,2,31,1,1,1,1
"205",2,2,61,2,1,1,1,1,6,3,1,44,3,5,4,2
"206",2,2,57,1,1,1,1,2,6,3,1,56,3,4,1,1
"207",3,3,28,2,7,4,5,2,4,2,2,34,1,2,2,3
"208",1,1,59,1,1,1,1,2,3,3,3,7,1,1,1,1
"209",2,2,57,2,1,1,1,2,5,3,5,33,2,7,3,2
"210",2,2,39,1,4,4,4,2,3,4,4,19,5,4,2,2
"211",1,2,46,2,1,1,1,2,5,3,1,56,3,3,1,1
"212",2,2,57,1,1,1,1,2,5,2,5,30,2,7,2,2
"213",2,2,60,2,1,1,1,2,5,4,2,3,3,5,4,3
"214",1,1,49,2,2,2,2,2,3,1,4,19,1,1,2,2
"215",1,1,23,1,5,4,5,2,3,2,3,43,2,7,3,2
"216",1,1,64,2,1,1,1,2,3,1,5,30,1,1,1,1
"217",2,2,70,2,1,1,1,2,5,1,3,7,3,5,2,3
"218",3,3,54,1,4,4,4,2,3,3,5,37,5,8,5,1
"219",2,1,78,2,1,1,1,2,6,2,2,50,1,1,1,1
"220",2,2,59,2,1,1,1,2,3,4,5,30,2,7,2,3
"221",1,1,30,1,1,1,1,2,3,1,4,19,1,1,1,1
"222",2,2,47,2,1,1,1,2,5,2,3,43,3,3,1,1
"223",1,1,58,2,3,3,3,1,3,2,4,19,1,2,2,3
"224",1,2,77,2,1,1,1,2,5,1,2,39,3,3,1,1
"225",2,2,67,1,1,1,1,2,5,1,1,23,3,5,3,1
"226",1,1,38,1,3,3,3,1,6,3,4,19,1,1,1,3
"227",2,2,65,1,3,3,3,1,5,2,2,39,3,4,3,3
"228",1,1,49,1,2,2,2,2,4,4,4,19,4,4,2,3
"229",1,1,71,2,1,1,1,2,5,2,5,37,1,1,2,1
"230",1,2,67,1,4,4,4,2,6,3,3,38,1,1,1,1
"231",2,1,59,1,1,1,1,2,5,3,1,57,1,1,1,1
